Paper_ID,Year,Conference,Filename,G1,G2,G3,G4,G5,G6,T1,Q1,Q2
1,2022,ACM,3548606.3559335.pdf,def,Poisoning,Multiple,No,Yes,No,Gray-box,Yes,None
2,2022,ACM,3548606.3559350.pdf,atk,Evasion,Audio,No,No,Yes,Black-box,No,Low
3,2022,ACM,3548606.3559355.pdf,def,Privacy,Images,Yes,Yes,No,Black-box,NA,NA
4,2022,ACM,3548606.3559358.pdf,atk,Privacy,Other,No,No,No,Black-box,No,None
5,2022,ACM,3548606.3559359.pdf,both,Privacy,Images,No,Yes,No,White-box/Black-box,Yes,High
6,2022,ACM,3548606.3559388.pdf,atk,Evasion,Images,No,Yes,Yes,White-box/Black-box,Yes,High
7,2022,ACM,3548606.3559390.pdf,atk,Evasion,Images,No,Yes,No,Gray-box,Yes,None
8,2022,ACM,3548606.3559392.pdf,def,NA,Images,No,No,No,NA,NA,NA
9,2022,ACM,3548606.3560554.pdf,atk,Multiple,Images,No,No,No,Black-box,No,High
10,2022,ACM,3548606.3560557.pdf,both,Privacy,Other,No,Yes,No,White-box,Yes,None
11,2022,ACM,3548606.3560561.pdf,def,Evasion,Images,No,No,No,White-box,NA,NA
12,2022,ACM,3548606.3560566.pdf,atk,Evasion,Images,No,Yes,No,White-box/Black-box,Yes,None
13,2022,ACM,3548606.3560573.pdf,atk,Privacy,Other,No,No,Yes,Black-box,No,Low
14,2022,ACM,3548606.3560581.pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
15,2022,ACM,3548606.3560586.pdf,atk,Privacy,Images,No,No,Yes,Black-box,No,Low
16,2022,ACM,3548606.3560599.pdf,atk,Evasion,Text,No,No,No,Black-box,No,High
17,2022,ACM,3548606.3560611.pdf,def,Poisoning,Images,No,No,No,NA,NA,NA
18,2022,ACM,3548606.3560615.pdf,def,Evasion,Other,Yes,Yes,No,NA,NA,NA
19,2022,ACM,3548606.3560619.pdf,def,Privacy,Images,No,Yes,No,White-box/Black-box,NA,NA
20,2022,ACM,3548606.3560621.pdf,def,Privacy,Other,No,No,No,NA,NA,NA
21,2022,ACM,3548606.3560660.pdf,atk,Evasion,Audio,No,No,No,White-box,Yes,None
22,2022,ACM,3548606.3560662.pdf,both,Privacy,Other,No,Yes,No,White-box/Black-box,No,None
23,2022,ACM,3548606.3560663.pdf,atk,Privacy,Other,No,Yes,No,White-box/Black-box,No,Low
24,2022,ACM,3548606.3560671.pdf,atk,Evasion,Audio,No,Yes,Yes,Black-box,No,High
25,2022,ACM,3548606.3560675.pdf,atk,Privacy,Other,No,No,No,Black-box,No,High
26,2022,ACM,3548606.3560678.pdf,atk,Poisoning,Images,No,No,No,Gray-box,No,None
27,2022,ACM,3548606.3560683.pdf,atk,Evasion,Text,No,Yes,No,Black-box,Yes,High
28,2022,ACM,3548606.3560684.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,Low
29,2022,ACM,3548606.3560694.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,High
30,2022,ACM,3548606.3560705.pdf,def,Privacy,Other,No,Yes,No,Black-box,NA,NA
31,2023,ACM,3576915.3616588.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
32,2023,ACM,3576915.3616593.pdf,def,Privacy,Images,No,Yes,No,White-box/Black-box,NA,NA
33,2023,ACM,3576915.3616617.pdf,atk,Poisoning,Images,No,Yes,No,Gray-box,Yes,None
34,2023,ACM,3576915.3616634.pdf,atk,Privacy,Audio,No,No,No,Black-box,No,None
35,2023,ACM,3576915.3616652.pdf,atk,Privacy,Text,Yes,Yes,No,Black-box,No,High
36,2023,ACM,3576915.3616653.pdf,both,Privacy,Other,No,Yes,No,Black-box,No,Low
37,2023,ACM,3576915.3616679.pdf,atk,Multiple,Images,No,Yes,No,Black-box,No,High
38,2023,ACM,3576915.3623082.pdf,def,Poisoning,Other,No,Yes,No,White-box/Black-box,Yes,Low
39,2023,ACM,3576915.3623093.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
40,2023,ACM,3576915.3623100.pdf,def,Evasion,Other,No,Yes,No,NA,NA,NA
41,2023,ACM,3576915.3623114.pdf,atk,Poisoning,Other,No,No,No,Gray-box,Yes,None
42,2023,ACM,3576915.3623116.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,High
43,2023,ACM,3576915.3623117.pdf,atk,Evasion,Malware,No,No,Yes,Black-box,No,Low
44,2023,ACM,3576915.3623120.pdf,def,Privacy,Text,Yes,Yes,No,Black-box,NA,NA
45,2023,ACM,3576915.3623134.pdf,def,NA,Other,Yes,Yes,No,NA,NA,NA
46,2023,ACM,3576915.3623173.pdf,atk,Privacy,Other,No,No,No,Black-box,No,High
47,2023,ACM,3576915.3623175.pdf,both,NA,Text,No,Yes,No,NA,NA,NA
48,2023,ACM,3576915.3623177.pdf,atk,Evasion,Images,No,No,No,White-box,Yes,None
49,2023,ACM,3576915.3623189.pdf,atk,Evasion,Images,No,Yes,No,White-box/Black-box,Yes,Low
50,2023,ACM,3576915.3623199.pdf,both,Evasion,Images,No,Yes,Yes,White-box,Yes,None
51,2023,ACM,3576915.3623209.pdf,def,NA,Audio,No,No,Yes,NA,NA,NA
52,2023,ACM,3576915.3623212.pdf,def,Poisoning,Images,No,No,No,NA,NA,NA
53,2024,ACM,2309.03466v2.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
54,2024,ACM,3658644.3670267.pdf,def,Privacy,Images,No,No,No,NA,NA,NA
55,2024,ACM,3658644.3670285.pdf,def,NA,Audio,No,Yes,No,NA,NA,NA
56,2024,ACM,3658644.3670291.pdf,def,Evasion,Images,No,Yes,No,NA,NA,NA
57,2024,ACM,3658644.3670293.pdf,atk,Evasion,Other,No,Yes,No,Black-box,No,High
58,2024,ACM,3658644.3670295.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
59,2024,ACM,3658644.3670296.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
60,2024,ACM,3658644.3670298.pdf,atk,Poisoning,Other,No,No,No,Black-box,No,None
61,2024,ACM,3658644.3670307.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
62,2024,ACM,3658644.3670309.pdf,atk,Evasion,Audio,No,No,Yes,Black-box,No,None
63,2024,ACM,3658644.3670317.pdf,def,Evasion,Images,No,Yes,No,NA,NA,NA
64,2024,ACM,3658644.3670361.pdf,atk,Poisoning,Images,No,Yes,No,White-box,No,None
65,2024,ACM,3658644.3670365.pdf,both,Poisoning,Other,No,No,No,Gray-box,Yes,None
66,2024,ACM,3658644.3670370.pdf,atk,Privacy,Text,No,Yes,Yes,Black-box,Yes,High
67,2024,ACM,3658644.3670382.pdf,atk,Evasion,Images,No,No,No,White-box/Black-box,No,None
68,2024,ACM,3658644.3670386.pdf,atk,Evasion,Malware,No,Yes,Yes,Black-box,No,None
69,2024,ACM,3658644.3670388.pdf,atk,Evasion,Text,No,Yes,Yes,Black-box,No,Low
