Year,Conference,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2022,ACM,3548606.3559335.pdf,"Identifying a Training-Set Attack’s Target Using Renormalized Influence Estimation Zayd Hammoudeh University of Oregon Eugene, Oregon, USA zayd@cs.uor","Using Renormalized Influence Estimation Zayd Hammoudeh University of Oregon Eugene, Oregon, USA zayd@cs.uoregon.eduDaniel Lowd",def,Poisoning,DL,Images,YES,YES,NO,Gray-box,Full,YES,High,Low,1,1,0,0,0,1,3
2022,ACM,3548606.3559350.pdf,"Perception-Aware Attack: Creating Adversarial Music via Reverse-Engineering Human Perception Rui Duan University of South Florida Tampa, FL, USA ruidu","Reverse-Engineering Human Perception Rui Duan University of South Florida Tampa, FL, USA ruiduan@usf.eduZhe Qu",atk,Evasion,DL,Audio,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,ACM,3548606.3559355.pdf,"SSLGuard: A Watermarking Scheme for Self-supervised Learning Pre-trained Encoders Tianshuo Cong Institute for Advanced Study, BNRist, Tsinghua Univers","Tianshuo Cong Institute for Advanced Study, BNRist, Tsinghua UniversityXinlei He CISPA Helmholtz Center for Information SecurityYang Zhang",def,Privacy,DL,Images,YES,YES,NO,Black-box,,NO,Low,Low,0,0,0,0,0,1,1
2022,ACM,3548606.3559358.pdf,Finding MNEMON: Reviving Memories of Node Embeddings Yun Shen∗ NetAppYufei Han InriaZhikun Zhang CISPA Helmholtz Center for Information Security Min C,CISPA Helmholtz Center for Information SecurityGianluca Stringhini Boston University ABSTRACT Previous security research efforts orbiting around graphs have,atk,Privacy,DL,Other,YES,NO,NO,Black-box,,NO,Low,Low,0,0,0,0,1,1,2
2022,ACM,3548606.3559359.pdf,Auditing Membership Leakages of Multi-Exit Networks Zheng Li CISPA Helmholtz Center for Information SecurityYiyong Liu CISPA Helmholtz Center for Info,CISPA Helmholtz Center for Information SecurityYiyong Liu CISPA Helmholtz Center for Information SecurityXinlei He CISPA Helmholtz Center for Information Security,atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3559388.pdf,"Understanding Real-world Threats to Deep Learning Models in Android Apps Zizhuang Deng SKLOIS, IIE, CAS† School of Cyber Security, UCAS‡ Beijing, Chin","School of Cyber Security, UCAS‡ Beijing, China dengzizhuang@iie.ac.cnKai Chen",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3559390.pdf,Physical Hijacking Attacks against Object Trackers Raymond Muller Purdue University mullerr@purdue.eduYanmao Man University of Arizona yman@arizona.ed,Physical Hijacking Attacks against Object Trackers Raymond Muller Purdue University mullerr@purdue.eduYanmao Man University of Arizona,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3559392.pdf,"""Is your explanation stable?"": A Robustness Evaluation Framework for Feature Attribution Yuyou Gan∗ Zhejiang University ganyuyou@zju.edu.cnYuhao Mao∗ ","Framework for Feature Attribution Yuyou Gan∗ Zhejiang University ganyuyou@zju.edu.cnYuhao Mao∗ Zhejiang University, ETH Zürich",def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560554.pdf,Truth Serum: Poisoning Machine Learning Models to Reveal Their Secrets Florian Tramèr∗† ETH ZürichReza Shokri National University of SingaporeAyrton S,Florian Tramèr∗† ETH ZürichReza Shokri National University of SingaporeAyrton San Joaquin Yale-NUS College Hoang Le,atk,Poisoning,DL,Images,YES,NO,NO,White-box,Full,YES,High,Low,1,1,1,0,1,1,5
2022,ACM,3548606.3560557.pdf,"Eluding Secure Aggregation in Federated Learning via Model Inconsistency Dario Pasquini dario.pasquini@epfl.ch SPRING Lab, EPFL Lausanne, SwitzerlandD","via Model Inconsistency Dario Pasquini dario.pasquini@epfl.ch SPRING Lab, EPFL Lausanne, SwitzerlandDanilo Francati",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
