Year,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2022,131600a346.pdf,BadEncoder: Backdoor Attacks to Pre-trained Encoders in Self-Supervised Learning Jinyuan Jia∗Yupei Liu∗Neil Zhenqiang Gong Duke University {jinyuan.ji,"Encoders in Self-Supervised Learning Jinyuan Jia∗Yupei Liu∗Neil Zhenqiang Gong Duke University {jinyuan.jia, yupei.liu, neil.gong }@duke.edu Abstract —Self-supervised learning in computer vision aims ",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,131600a415.pdf,"Universal 3-Dimensional Perturbations for Black-Box Attacks on Video Recognition Systems Shangyu Xie1, Han Wang1, Yu Kong2, Yuan Hong1 1Illinois Insti","1Illinois Institute of Technology, Chicago, IL 60616 2Rochester Institute of Technology, Rochester, NY 14623 Email:fsxie14, hwang185g@hawk.iit.edu, yu.kong@rit.edu, yuan.hong@iit.edu Abstract —Widely ",atk,Evasion,DL,Images,YES,YES,NO,Black-box,None,NO,Low,Low,0,0,0,0,0,1,1
2022,131600a522.pdf,LINKTELLER : Recovering Private Edges from Graph Neural Networks via Inﬂuence Analysis Fan Wu1Yunhui Long1Ce Zhang2Bo Li1 1University of Illinois at U,"Graph Neural Networks via Inﬂuence Analysis Fan Wu1Yunhui Long1Ce Zhang2Bo Li1 1University of Illinois at Urbana-Champaign2ETH Z ¨urich ffanw6,ylong4,lbo g@illinois.edu ce.zhang@inf.ethz.ch Abstract —",atk,Privacy,DL,Other,YES,YES,NO,Black-box,Full,YES,High,Low,1,1,0,0,0,1,3
2022,131600a773.pdf,Bad ‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,Imperceptible NLP Attacks Nicholas Boucher University of Cambridge Computer Science & Technology nicholas.boucher@cl.cam.ac.ukIlia Shumailov,atk,Evasion,DL,Text,YES,YES,YES,Black-box,None,NO,Low,Low,0,0,0,0,0,0,0
2022,131600a980.pdf,"Asleep at the Keyboard? Assessing the Security of GitHub Copilot’s Code Contributions Hammond Pearce Department of ECE New York University Brooklyn, N","Security of GitHub Copilot’s Code Contributions Hammond Pearce Department of ECE New York University Brooklyn, NY , USA",def,NA,DL,Other,YES,YES,NO,Black-box,None,NO,None,Low,0,0,0,0,0,1,1
2022,131600b013.pdf,"Copy, Right? A Testing Framework for Copyright Protection of Deep Learning Models Jialuo Chen∗, Jingyi Wang∗/Letter, Tinglan Peng∗, Y oucheng Sun†, Pe","Jialuo Chen∗, Jingyi Wang∗/Letter, Tinglan Peng∗, Y oucheng Sun†, Peng Cheng∗, Shouling Ji∗, Xingjun Ma‡,B oL i§and Dawn Song¶ ∗Zhejiang University,†University of Manchester,‡Fudan University,§UIUC,¶U",def,NA,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,131600b031.pdf,Model Stealing Attacks Against Inductive Graph Neural Networks Yun Shen1Xinlei He2Yufei Han3Yang Zhang2 1Norton Research Group2CISPA Helmholtz Cente,Yun Shen1Xinlei He2Yufei Han3Yang Zhang2 1Norton Research Group2CISPA Helmholtz Center for Information Security3INRIA Abstract —Many real-world data come in the form of graphs. Graph neural networks,atk,Evasion,DL,Other,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,131600b117.pdf,"Back to the Drawing Board: A Critical Evaluation of Poisoning Attacks on Production Federated Learning Virat Shejwalkar∗, Amir Houmansadr∗, Peter Kair","Production Federated Learning Virat Shejwalkar∗, Amir Houmansadr∗, Peter Kairouz†, Daniel Ramage† ∗University of Massachusetts Amherst†Google Research ∗{vshejwalkar, amir }@cs.umass.edu,†{kairouz, dra",atk,Poisoning,DL,Images,YES,NO,NO,White-box,Partial,YES,High,Low,1,1,1,0,1,1,5
2022,131600b135.pdf,Sphinx: Enabling Privacy-Preserving Online Learning over the Cloud Han Tian1Chaoliang Zeng1Zhenghang Ren1Di Chai1;2Junxue Zhang1;2Kai Chen1Qiang Yang1,Sphinx: Enabling Privacy-Preserving Online Learning over the Cloud Han Tian1Chaoliang Zeng1Zhenghang Ren1Di Chai1;2Junxue Zhang1;2Kai Chen1Qiang Yang1 1Hong Kong University of Science and Technology2C,def,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,131600b165.pdf,"Transcending T RANSCEND : Revisiting Malware Classiﬁcation in the Presence of Concept Drift Federico Barberoyk, Feargus Pendleburyzx{, Fabio Pierazz","Classiﬁcation in the Presence of Concept Drift Federico Barberoyk, Feargus Pendleburyzx{, Fabio Pierazziy, Lorenzo Cavallaro{ yKing’s College London,zRoyal Holloway, University of London,xThe Alan T",def,NA,Both,Malware,YES,YES,NO,Black-box,None,NO,Low,Low,0,0,0,0,0,1,1
