Year,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2022,2108.09135v2.pdf,PatchCleanser: Certiﬁably Robust Defense against Adversarial Patches for Any Image Classiﬁer Chong Xiang Princeton UniversitySaeed Mahloujifar Princet,for Any Image Classiﬁer Chong Xiang Princeton UniversitySaeed Mahloujifar Princeton UniversityPrateek Mittal Princeton University,def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-ahmed.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Towards More Robust Keyword Spotting  for Voice Assistants Shimaa Ahmed, University of Wisconsin-Madison; Ilia Shumailov,   University of Cambridge; Nicolas Papernot, University of",def,Privacy,DL,Audio,YES,YES,YES,White-box,Full,YES,High,Low,1,1,1,0,0,0,3
2022,sec22-arp.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","Daniel Arp, Technische Universität Berlin; Erwin Quiring, Technische Universität  Braunschweig; Feargus Pendlebury, King’s College London and Royal Holloway,  University of London and The Alan Turing ",def,NA,Both,Malware,YES,NO,NO,Black-box,None,NO,Low,Low,0,0,0,0,1,1,2
2022,sec22-blue.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","Vocal Tract Reconstruction Logan Blue, Kevin Warren, Hadi Abdullah, Cassidy Gibson, Luis Vargas,  Jessica O’Dell, Kevin Butler, and Patrick Traynor, University of Florida https://www.usenix.org/confer",def,Evasion,DL,Audio,YES,YES,NO,Black-box,None,NO,None,Low,0,0,0,0,0,1,1
2022,sec22-chen-yufei.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Teacher Model Fingerprinting Attacks   Against Transfer Learning Yufei Chen, Xi’an Jiaotong University & City University of Hong Kong; Chao Shen,  Xi’an Jiaotong University; Cong W",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-cohen.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","31st USENIX Security Symposium is  sponsored by USENIX.Attacks on Deidentification’s Defenses Aloni Cohen, University of Chicago https://www.usenix.org/conference/usenixsecurity22/presentation/cohen",atk,Privacy,Both,Other,YES,NO,NO,White-box,Full,YES,High,Low,1,1,1,0,1,1,5
2022,sec22-fu-chong.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Label Inference Attacks   Against Vertical Federated Learning Chong Fu, Zhejiang University; Xuhong Zhang and Shouling Ji,   Binjiang Institute of Zhejiang University; Jinyin Chen,",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-fu-qi.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","Iterative Adversarial Attacks Qi-An Fu, Dept. of Comp. Sci. and Tech., Institute for AI, Tsinghua-Bosch Joint ML Center,  THBI Lab, BNRist Center, Tsinghua University, Beijing, China; Yinpeng Dong, De",atk,Evasion,DL,Images,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,sec22-hallyburton.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Security Analysis of Camera-LiDAR Fusion Against  Black-Box Attacks on Autonomous Vehicles R. Spencer Hallyburton and Yupei Liu, Duke University; Yulong Cao and   Z. Morley Mao, Un",atk,Evasion,DL,Images,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,sec22-jain.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access to the Proceedings of the  31st USENIX Security Symposium is  sponsored by USENIX.Adversarial Detection Avoidance Attacks:  Evaluatin",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
